"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","1","8","14","ジオフロント","牡7","牡","7","57.0","▲鷲頭","3:27.3","","5.0","8.1","13.8","3-3-2-2","栗東清水久","480(+4)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"2","2","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","2","5","8","プラチナトレジャー","牡7","牡","7","60.0","伴","3:27.3","ハナ","2.0","3.0","13.8","6-7-3-3","美浦国枝","490(0)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"3","3","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","3","4","6","コンクエスト","セ6","セ","6","60.0","石神深","3:27.8","3","6.0","13.4","13.9","1-1-1-1","美浦小笠","500(+12)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"4","4","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","4","4","5","ウィズユアドリーム","牡5","牡","5","60.0","高田","3:28.6","5","3.0","7.7","13.9","3-3-3-3","栗東宮地","512(+8)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"5","5","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","5","3","3","ネイチャーシップ","牡7","牡","7","60.0","大江圭","3:28.9","1.3/4","1.0","2.9","13.9","6-5-6-5","美浦根本","508(+4)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"6","6","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","6","2","2","タイセイジャスパー","セ6","セ","6","60.0","難波","3:29.1","1.1/4","11.0","87.0","13.9","9-9-9-8","美浦伊藤圭","492(0)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"7","7","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","7","1","1","スペクトログラム","牡6","牡","6","60.0","小牧加","3:29.8","4","4.0","8.0","14.0","6-7-5-5","栗東池江","512(-6)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"8","8","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","8","3","4","コスモエスメラルダ","牝4","牝","4","57.0","▲土田","3:30.0","1.1/4","9.0","59.7","14.0","9-9-6-5","美浦土田","510(-2)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"9","9","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","9","7","12","ゴールデンルーキー","牡4","牡","4","60.0","江田勇","3:30.2","1.1/4","12.0","106.7","14.0","5-5-6-8","美浦粕谷","476(+6)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
"10","10","2025年6月7日","東京","1R","3歳以上障害未勝利","障3000m (芝 ダート)","10:05","晴","良","10","5","7","ヘザルフェン","牡4","牡","4","60.0","小坂","3:30.3","1/2","8.0","43.1","14.0","11-11-11-11","栗東昆","500(+8)","https://race.netkeiba.com/race/result.html?race_id=202505030101&rf=race_list"
