"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","1","2","4","エイミームーン","牝3","牝","3","55.0","原","1:25.0","","3.0","4.4","37.6","4-4","美浦矢野","462(-4)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"2","2","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","2","1","1","ミュークチェルシー","牝3","牝","3","55.0","吉田豊","1:25.3","1.3/4","2.0","3.6","38.2","1-1","美浦稲垣","456(+4)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"3","3","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","3","7","13","アイスリーディング","牝3","牝","3","55.0","田辺","1:25.8","3","8.0","28.0","37.0","15-14","美浦小笠","432(-2)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"4","4","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","4","1","2","アドリアフレイバー","牝3","牝","3","54.0","☆西塚","1:25.8","クビ","7.0","25.2","37.5","12-10","美浦久保田","484(+30)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"5","5","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","5","5","9","コットンフラワー","牝3","牝","3","55.0","木幡育","1:26.6","5","15.0","334.4","37.9","13-12","美浦松永康","434(+6)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"6","6","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","6","4","7","フレーズボンボン","牝3","牝","3","55.0","菅原明","1:26.9","2","4.0","19.2","39.7","2-2","美浦中舘","428(0)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"7","7","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","7","4","8","シャインシュシュ","牝3","牝","3","55.0","横山和","1:26.9","ハナ","10.0","36.4","38.9","8-8","美浦小野","478(-2)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"8","8","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","8","7","14","マジョッコピロコ","牝3","牝","3","55.0","北村宏","1:27.3","2.1/2","13.0","305.6","38.2","14-15","美浦柄崎","464(-2)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"9","9","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","9","6","11","タイセイルーマー","牝3","牝","3","55.0","斎藤","1:27.4","3/4","6.0","23.8","39.8","6-7","美浦斎藤誠","466(+2)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"10","10","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","10","8","15","サトミノマリア","牝3","牝","3","55.0","津村","1:27.4","ハナ","5.0","21.8","39.9","6-5","美浦鈴木伸","494(+2)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"11","11","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","11","2","3","アイドルフェスタ","牝3","牝","3","52.0","▲遠藤","1:27.5","クビ","12.0","294.7","37.7","16-16","美浦西田","450(-4)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"12","12","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","12","3","6","ウーバーミッション","牝3","牝","3","55.0","小林凌","1:28.0","3","16.0","351.4","39.4","11-12","美浦小西","434(-2)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"13","13","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","13","5","10","ジェンダアネモス","牝3","牝","3","55.0","ルメー","1:28.3","1.3/4","1.0","2.1","41.0","2-2","美浦伊坂","436(0)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"14","14","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","14","8","16","ララセリーヌ","牝3","牝","3","55.0","木幡巧","1:29.1","5","11.0","271.0","40.9","10-10","美浦牧","440(0)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"15","15","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","15","3","5","ミスパナギア","牝3","牝","3","55.0","内田博","1:29.3","3/4","14.0","319.7","41.3","8-8","美浦浅利","454(+10)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
"16","16","2025年5月17日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","稍","16","6","12","チャンキーバングル","牝3","牝","3","55.0","横山武","1:29.6","2","9.0","35.2","42.1","4-5","美浦萩原","438(+4)","https://race.netkeiba.com/race/result.html?race_id=202505020701&rf=race_list"
