"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","1","2","3","シュガーハイ","牡3","牡","3","53.0","★小林美","1:24.2","","2.0","8.1","36.7","1-1","美浦加藤士","510(+4)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"2","2","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","2","6","12","ガストフロント","牡3","牡","3","57.0","武藤","1:25.2","6","3.0","8.7","37.4","5-5","美浦水野","452(+2)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"3","3","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","3","4","8","ジルクン","牡3","牡","3","57.0","津村","1:25.3","1/2","6.0","22.2","36.8","11-10","美浦鈴木慎","410(0)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"4","4","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","4","7","13","ペイシャブギー","牝3","牝","3","55.0","佐々木","1:25.5","1","8.0","33.6","37.3","8-6","美浦本間","428(+2)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"5","5","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","5","5","10","キタノショウリュウ","牡3","牡","3","57.0","松岡","1:26.0","3","9.0","42.9","37.2","14-12","美浦伊藤伸","490(+4)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"6","6","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","6","7","14","ノブダブルホワイト","牡3","牡","3","57.0","木幡育","1:26.0","ハナ","16.0","309.1","37.7","8-9","美浦松永康","438(+2)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"7","7","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","7","8","16","ヒソカ","牡3","牡","3","54.0","▲佐藤","1:26.5","3","11.0","68.6","38.8","3-2","美浦杉浦","470(+7)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"8","8","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","8","5","9","アルマヴィーナス","牝3","牝","3","55.0","内田博","1:26.5","アタマ","5.0","12.8","37.3","14-15","美浦中舘","456(+2)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"9","9","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","9","1","1","ジーティーレイナ","牝3","牝","3","52.0","▲上里","1:26.6","3/4","13.0","115.8","37.8","11-12","美浦天間","452(0)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
"10","10","2025年5月31日","東京","1R","3歳未勝利","ダ1400m (左)","10:05","雨","不","10","2","4","エコロジェイド","牡3","牡","3","56.0","☆横山琉","1:26.6","アタマ","10.0","47.8","38.1","8-10","美浦小西","498(+4)","https://race.netkeiba.com/race/result.html?race_id=202505021101&rf=race_list"
