"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","1","2","2","ネクストダンサー","牝3","牝","3","55.0","松山","1:54.8","","4.0","5.6","40.2","1-1-1-1","美浦伊藤圭","472(0)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"2","2","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","2","6","10","クインズエクレア","牝3","牝","3","55.0","横山武","1:55.3","3","5.0","8.4","40.4","4-2-3-3","美浦加藤征","476(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"3","3","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","3","6","11","リックメイン","牝3","牝","3","51.0","★小林美","1:55.3","アタマ","1.0","3.1","40.5","2-2-2-2","美浦武井","442(-8)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"4","4","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","4","7","12","トーアナカヨシ","牝3","牝","3","55.0","菊沢","1:55.5","3/4","6.0","12.3","39.7","11-10-9-7","美浦勢司","458(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"5","5","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","5","1","1","ミスブランニュデイ","牝3","牝","3","55.0","野中","1:55.7","1.1/4","9.0","51.4","40.1","9-8-6-6","美浦菊川","452(-10)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"6","6","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","6","2","3","ルージュメアート","牝3","牝","3","55.0","吉田豊","1:55.7","クビ","3.0","5.4","39.6","15-15-11-9","美浦高柳瑞","516(-10)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"7","7","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","7","4","7","ミライヘノハナ","牝3","牝","3","55.0","丹内","1:55.9","3/4","2.0","5.0","40.2","8-8-6-7","美浦伊藤大","444(+2)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"8","8","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","8","3","4","アイスリーディング","牝3","牝","3","52.0","▲石田","1:56.0","1/2","7.0","17.6","40.8","6-5-4-4","美浦小笠","434(+6)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"9","9","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","9","5","8","スナドケイ","牝3","牝","3","55.0","中井","1:56.3","2","13.0","207.2","40.1","12-12-12-11","美浦尾形","480(+8)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"10","10","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","10","8","15","スーパーキティ","牝3","牝","3","55.0","江田照","1:56.8","3","10.0","61.5","41.5","6-7-4-4","美浦菊川","496(0)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"11","11","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","11","7","13","サツキレジーナ","牝3","牝","3","55.0","丸田","1:57.3","3","8.0","19.5","41.4","9-10-9-9","美浦石栗","414(-1)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"12","12","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","12","4","6","シャンドネージュ","牝3","牝","3","55.0","伊藤","1:58.6","8","12.0","178.3","42.4","12-13-12-12","美浦青木","502(-12)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
"13","13","2025年4月5日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","重","13","3","5","タマモミンミ","牝3","牝","3","55.0","黛","2:00.0","9","14.0","249.0","43.5","14-13-15-13","美浦村田","400(0)","https://race.netkeiba.com/race/result.html?race_id=202506030301&rf=race_list"
