"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2024年9月7日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","晴","良","1","5","5","インディゴブラック","セ5","セ","5","60.0","小坂","3:14.8","","2.0","2.3","13.5","1-1-1-2","栗東奥村豊","514(+2)","https://race.netkeiba.com/race/result.html?race_id=202406040101&rf=race_list"
"2","2","2024年9月7日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","晴","良","2","1","1","ルレーヴドゥリリ","牝7","牝","7","58.0","江田勇","3:15.0","1.1/4","4.0","11.9","13.5","5-5-5-4","美浦田中剛","524(+4)","https://race.netkeiba.com/race/result.html?race_id=202406040101&rf=race_list"
"3","3","2024年9月7日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","晴","良","3","8","8","ダノンジャッカル","牡5","牡","5","60.0","西谷誠","3:15.0","クビ","1.0","2.3","13.5","6-6-2-1","栗東中内田","464(0)","https://race.netkeiba.com/race/result.html?race_id=202406040101&rf=race_list"
"4","4","2024年9月7日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","晴","良","4","2","2","タイセイエピソード","牡5","牡","5","60.0","上野","3:15.1","クビ","6.0","20.2","13.5","2-2-3-3","美浦千葉","472(-8)","https://race.netkeiba.com/race/result.html?race_id=202406040101&rf=race_list"
"5","5","2024年9月7日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","晴","良","5","3","3","ネッスンドルマ","牡5","牡","5","60.0","伴","3:15.4","2","3.0","7.1","13.6","7-7-5-4","美浦加藤士","470(+10)","https://race.netkeiba.com/race/result.html?race_id=202406040101&rf=race_list"
"6","6","2024年9月7日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","晴","良","6","6","6","メイショウコホク","セ7","セ","7","60.0","難波","3:18.7","大","7.0","33.3","13.8","3-4-5-6","栗東藤沢","506(+22)","https://race.netkeiba.com/race/result.html?race_id=202406040101&rf=race_list"
"7","7","2024年9月7日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","晴","良","7","4","4","フィッシュポンド","牡4","牡","4","60.0","大江圭","3:18.8","1/2","8.0","70.7","13.8","3-3-3-7","美浦小笠","504(+2)","https://race.netkeiba.com/race/result.html?race_id=202406040101&rf=race_list"
"8","8","2024年9月7日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","晴","良","8","7","7","メディーヴァル","牡6","牡","6","60.0","森一","3:22.9","大","5.0","13.5","14.1","8-8-8-8","栗東寺島","462(-10)","https://race.netkeiba.com/race/result.html?race_id=202406040101&rf=race_list"
"9","1","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","1","4","4","ニシノルアノーヴァ","牡2","牡","2","55.0","永野","1:33.8","","5.0","8.6","34.3","6-4-4","美浦古賀","470(+6)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"10","2","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","2","5","6","イノキ","牡2","牡","2","55.0","菅原明","1:33.8","クビ","1.0","3.1","34.6","1-1-1","美浦岩戸","478(+4)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"11","3","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","3","2","2","ドルビナ","牡2","牡","2","52.0","▲佐藤","1:33.9","3/4","7.0","20.3","34.1","11-10-7","美浦杉浦","438(+6)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"12","4","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","4","6","8","スパイウェア","牡2","牡","2","55.0","田辺","1:34.0","クビ","4.0","6.1","34.8","3-2-2","美浦栗田","446(-6)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"13","5","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","5","5","5","サーマル","牡2","牡","2","55.0","吉田豊","1:34.0","クビ","10.0","38.7","33.9","12-12-11","美浦高橋文","426(-6)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"14","6","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","6","3","3","ミズイロホルトゥス","牝2","牝","2","55.0","ルメー","1:34.0","ハナ","2.0","4.0","34.5","2-4-4","美浦金成","452(-4)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"15","7","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","7","7","9","ダングラール","牡2","牡","2","55.0","石川","1:34.1","クビ","3.0","5.2","34.6","3-4-4","美浦田中博","462(-2)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"16","8","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","8","1","1","テーオービースト","牡2","牡","2","55.0","菊沢","1:34.1","ハナ","6.0","15.7","34.4","6-7-7","美浦清水英","458(+6)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"17","9","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","9","6","7","ロベルタカリーナ","牝2","牝","2","55.0","木幡巧","1:34.3","1.1/2","11.0","74.0","34.6","8-7-7","美浦牧","446(-4)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"18","10","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","10","8","12","ビップリアム","牡2","牡","2","53.0","△小林勝","1:34.3","クビ","12.0","197.7","34.3","8-11-11","美浦嘉藤","428(0)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"19","11","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","11","8","11","ウィングコマンダー","牡2","牡","2","52.0","▲石神道","1:34.9","3.1/2","9.0","38.4","35.2","8-7-7","美浦鹿戸","468(+2)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"20","12","2024年9月7日","中山","2R","2歳未勝利","芝1600m (右 外B)","10:40","晴","良","12","7","10","カズノマリア","牝2","牝","2","52.0","▲石田","1:35.2","2","8.0","35.0","35.9","3-2-3","美浦尾形","452(+4)","https://race.netkeiba.com/race/result.html?race_id=202406040102&rf=race_list"
"21","1","2024年9月7日","中山","3R","2歳未勝利","ダ1800m (右)","11:10","晴","良","1","5","6","パースウェイド","牝2","牝","2","55.0","ルメー","1:55.7","","1.0","1.7","39.2","5-6-4-3","美浦中舘","468(+2)","https://race.netkeiba.com/race/result.html?race_id=202406040103&rf=race_list"
"22","2","2024年9月7日","中山","3R","2歳未勝利","ダ1800m (右)","11:10","晴","良","2","8","11","カージオイド","牡2","牡","2","55.0","菅原明","1:56.3","3.1/2","5.0","35.4","40.2","2-2-2-2","美浦黒岩","504(+10)","https://race.netkeiba.com/race/result.html?race_id=202406040103&rf=race_list"
"23","3","2024年9月7日","中山","3R","2歳未勝利","ダ1800m (右)","11:10","晴","良","3","3","3","コスモシェルベット","牡2","牡","2","55.0","武藤","1:56.3","クビ","8.0","83.7","40.4","1-1-1-1","美浦水野","418(+6)","https://race.netkeiba.com/race/result.html?race_id=202406040103&rf=race_list"
