"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","1","4","8","アパッシメント","牡2","牡","2","56.0","佐々木","1:12.5","","1.0","1.7","38.5","2-2","美浦堀","486(+8)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"2","2","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","2","5","10","リクエイ","牝2","牝","2","55.0","戸崎圭","1:13.0","3.1/2","4.0","8.2","39.1","2-2","美浦竹内","420(0)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"3","3","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","3","4","7","ショウナンラリー","牡2","牡","2","56.0","吉田豊","1:13.1","クビ","3.0","7.5","39.3","1-1","美浦嘉藤","480(0)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"4","4","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","4","3","5","サツキレジーナ","牝2","牝","2","55.0","小林凌","1:13.2","クビ","12.0","214.3","38.0","12-11","美浦石栗","424(0)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"5","5","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","5","7","13","バースフラワー","牝2","牝","2","55.0","三浦","1:13.3","1/2","7.0","32.7","38.6","9-9","美浦小手川","436(-6)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"6","6","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","6","7","14","ライズトゥザトップ","牝2","牝","2","55.0","木幡巧","1:13.7","2.1/2","2.0","4.3","39.7","2-4","美浦牧","488(0)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"7","7","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","7","3","6","エーデルムート","牝2","牝","2","54.0","☆原","1:13.8","1/2","13.0","238.0","39.3","7-7","美浦矢野","452(+8)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"8","8","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","8","1","2","ビレッジルミエール","牝2","牝","2","53.0","△小林脩","1:13.8","ハナ","5.0","19.4","39.2","9-7","美浦伊藤圭","452(+6)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"9","9","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","9","6","12","マーリーヒル","牝2","牝","2","55.0","菊沢","1:14.5","4","10.0","128.0","40.0","7-9","美浦矢野","440(+10)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"10","10","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","10","6","11","チュラット","牝2","牝","2","55.0","武藤","1:14.5","アタマ","8.0","59.9","40.2","6-6","美浦水野","432(-6)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"11","11","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","11","1","1","マジカルレインボー","牝2","牝","2","55.0","丹内","1:14.7","1","9.0","115.2","39.7","11-11","美浦尾関","488(0)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"12","12","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","12","8","15","アイファーシャドー","牡2","牡","2","53.0","▲石神道","1:14.8","クビ","16.0","696.5","38.0","15-15","美浦根本","452(-4)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"13","13","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","13","5","9","オスカージュディ","牝2","牝","2","55.0","西村淳","1:15.0","1","11.0","151.5","38.8","14-14","美浦小島","426(-4)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"14","14","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","14","8","16","ダングラール","牡2","牡","2","56.0","坂井","1:15.2","1.1/4","6.0","19.8","41.2","2-5","美浦田中博","472(+10)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"15","15","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","15","2","3","シャトーペリオット","牡2","牡","2","56.0","野中","1:15.9","4","15.0","633.1","39.1","15-15","美浦根本","516(+6)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"16","16","2024年12月28日","中山","1R","2歳未勝利","ダ1200m (右)","10:05","晴","良","16","2","4","ノエル","牡2","牡","2","55.0","☆横山琉","1:16.3","2.1/2","14.0","270.3","41.1","12-13","美浦斎藤誠","426(+14)","https://race.netkeiba.com/race/result.html?race_id=202406050901&rf=race_list"
"17","1","2024年12月28日","中山","2R","2歳未勝利","ダ1800m (右)","10:35","晴","良","1","5","9","オストラヴァ","牡2","牡","2","56.0","津村","1:56.4","","1.0","1.8","39.2","8-8-8-8","美浦林","476(+2)","https://race.netkeiba.com/race/result.html?race_id=202406050902&rf=race_list"
"18","2","2024年12月28日","中山","2R","2歳未勝利","ダ1800m (右)","10:35","晴","良","2","3","6","ジェシーテソーロ","牡2","牡","2","56.0","木幡巧","1:56.5","1","3.0","9.4","39.7","4-4-4-3","美浦牧","482(+4)","https://race.netkeiba.com/race/result.html?race_id=202406050902&rf=race_list"
"19","3","2024年12月28日","中山","2R","2歳未勝利","ダ1800m (右)","10:35","晴","良","3","2","4","フジレイメイ","牡2","牡","2","56.0","松岡","1:56.6","3/4","8.0","31.4","38.7","15-15-12-10","美浦小笠","484(-4)","https://race.netkeiba.com/race/result.html?race_id=202406050902&rf=race_list"
"20","4","2024年12月28日","中山","2R","2歳未勝利","ダ1800m (右)","10:35","晴","良","4","6","12","ヴィラスターリ","牡2","牡","2","56.0","内田博","1:56.9","1.1/2","5.0","23.1","40.3","2-2-2-2","美浦矢野","474(+8)","https://race.netkeiba.com/race/result.html?race_id=202406050902&rf=race_list"
"21","5","2024年12月28日","中山","2R","2歳未勝利","ダ1800m (右)","10:35","晴","良","5","2","3","オキョンピー","牡2","牡","2","56.0","佐々木","1:57.0","1/2","7.0","31.4","39.7","11-11-9-8","美浦高柳瑞","436(-2)","https://race.netkeiba.com/race/result.html?race_id=202406050902&rf=race_list"
"22","6","2024年12月28日","中山","2R","2歳未勝利","ダ1800m (右)","10:35","晴","良","6","8","16","ルクスエクレール","牡2","牡","2","56.0","杉原","1:57.0","クビ","11.0","84.8","39.5","11-12-11-10","美浦大和田","430(+2)","https://race.netkeiba.com/race/result.html?race_id=202406050902&rf=race_list"
"23","7","2024年12月28日","中山","2R","2歳未勝利","ダ1800m (右)","10:35","晴","良","7","7","14","ジーティートゥルー","牡2","牡","2","56.0","大野","1:57.5","3","4.0","13.8","40.5","6-7-7-6","美浦田島","454(0)","https://race.netkeiba.com/race/result.html?race_id=202406050902&rf=race_list"
