"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","1","5","10","メリーサウンド","牝3","牝","3","55.0","小沢","1:37.8","","9.0","41.1","38.4","1-1","美浦小笠","448(-4)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"2","2","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","2","8","16","センジュコスモス","牝3","牝","3","55.0","内田博","1:38.2","2","6.0","9.2","38.6","2-2","美浦南田","460(-2)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"3","3","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","3","1","2","アイスリーディング","牝3","牝","3","55.0","田辺","1:38.3","1","7.0","14.6","37.7","9-9","美浦小笠","434(-6)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"4","4","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","4","4","8","スカイリスト","牝3","牝","3","55.0","吉田豊","1:38.4","クビ","12.0","171.7","37.4","12-12","美浦小野","464(+6)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"5","5","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","5","7","13","ミヤグリフォン","牝3","牝","3","55.0","菊沢","1:38.4","クビ","2.0","4.1","38.8","2-2","美浦千葉","466(-2)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"6","6","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","6","8","15","モリノアミーゴ","牝3","牝","3","55.0","津村","1:38.6","1","3.0","6.2","38.5","6-6","美浦鈴木伸","466(0)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"7","7","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","7","3","5","アルマヴィーナス","牝3","牝","3","54.0","☆横山琉","1:38.6","ハナ","10.0","114.2","37.8","11-10","美浦中舘","460(+4)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"8","8","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","8","7","14","イルジーリオ","牝3","牝","3","52.0","▲石神道","1:38.6","クビ","8.0","19.8","38.1","8-7","美浦林","438(+8)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"9","9","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","9","2","3","チハヤフル","牝3","牝","3","55.0","大野","1:38.7","3/4","5.0","8.7","37.6","13-12","美浦高柳瑞","474(+4)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"10","10","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","10","4","7","デルマエアロール","牝3","牝","3","55.0","石橋脩","1:38.8","1/2","4.0","7.5","38.9","4-4","美浦大和田","458(-4)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"11","11","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","11","6","12","サクラカゼ","牝3","牝","3","52.0","▲佐藤","1:39.0","3/4","13.0","197.1","37.8","16-14","美浦堀内","452(-8)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"12","12","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","12","1","1","ミズイロ","牝3","牝","3","55.0","丸田","1:39.3","2","15.0","233.7","38.9","7-7","美浦高橋文","434(0)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"13","13","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","13","2","4","ハコダテサンバ","牝3","牝","3","55.0","石川","1:39.3","アタマ","11.0","154.3","38.1","13-14","美浦相沢","462(-2)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"14","14","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","14","5","9","キタノルシール","牝3","牝","3","52.0","▲石田","1:39.8","2.1/2","16.0","265.7","38.6","15-14","美浦小西","454(+6)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"15","15","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","15","6","11","アビッサルスター","牝3","牝","3","55.0","レーン","1:40.1","1.3/4","1.0","3.2","40.3","4-4","美浦堀","430(-2)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"16","16","2025年6月21日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","晴","良","16","3","6","ニシノクレシダ","牝3","牝","3","55.0","江田照","1:40.4","2","14.0","223.1","39.6","9-10","美浦栗田","448(-4)","https://race.netkeiba.com/race/result.html?race_id=202505030501&rf=race_list"
"17","1","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","1","8","16","サクラパステル","牝3","牝","3","55.0","丸山","1:25.6","","4.0","8.0","36.0","1-1","美浦田島","470(-6)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"18","2","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","2","1","2","ガンバレベアー","牝3","牝","3","55.0","内田博","1:26.1","3","1.0","3.5","35.5","12-11","美浦千葉","474(-4)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"19","3","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","3","1","1","ウインレアリゼ","牝3","牝","3","52.0","▲石神道","1:26.2","1","8.0","14.2","35.9","10-7","美浦小手川","472(+8)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"20","4","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","4","7","14","キタノショウリュウ","牡3","牡","3","57.0","野中","1:26.3","クビ","10.0","69.2","36.5","2-2","美浦伊藤伸","482(-8)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"21","5","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","5","8","15","プロピエダッド","牝3","牝","3","55.0","丸田","1:26.3","クビ","11.0","91.6","36.4","5-5","美浦武藤","474(0)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"22","6","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","6","7","13","ペイシャブギー","牝3","牝","3","55.0","菊沢","1:26.3","クビ","9.0","25.1","36.5","2-2","美浦本間","424(-4)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"23","7","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","7","5","9","アシャカルーク","牡3","牡","3","57.0","横山典","1:26.5","1","5.0","8.5","36.4","5-6","美浦鈴木伸","442(-4)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"24","8","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","8","2","3","アンエクスプロード","牡3","牡","3","57.0","三浦","1:26.5","クビ","7.0","9.4","35.6","14-14","美浦池上","506(+4)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"25","9","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","9","4","7","ルージュアマリア","牝3","牝","3","55.0","菅原明","1:26.7","1","6.0","9.3","36.4","8-7","美浦黒岩","396(-4)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"26","10","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","10","3","5","メイユウ","牡3","牡","3","57.0","石川","1:26.7","クビ","2.0","4.9","36.9","2-2","美浦蛯名正","468(0)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"27","11","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","11","5","10","シャインシュシュ","牝3","牝","3","55.0","石橋脩","1:26.9","1","13.0","104.0","36.2","12-13","美浦小野","476(-2)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"28","12","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","12","6","12","クリプトス","牡3","牡","3","57.0","戸崎圭","1:27.0","1/2","3.0","6.7","36.7","8-7","美浦和田勇","482(-2)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"29","13","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","13","2","4","アンファンテリブル","牝3","牝","3","52.0","▲遠藤","1:27.2","1.1/2","16.0","468.2","36.3","14-14","美浦堀内","458(-4)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
"30","14","2025年6月21日","東京","2R","3歳未勝利","ダ1400m (左)","10:45","晴","良","14","4","8","セットオンユー","牝3","牝","3","54.0","☆横山琉","1:28.2","6","12.0","96.1","37.3","16-14","美浦蛯名正","398(0)","https://race.netkeiba.com/race/result.html?race_id=202505030502&rf=race_list"
