"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","1","7","13","マイネルブリオン","牡3","牡","3","57.0","松岡","1:27.6","","9.0","28.9","37.8","7-8","美浦矢野","488(+2)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"2","2","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","2","1","2","クラウンハート","牡3","牡","3","57.0","石川","1:27.7","1/2","1.0","2.1","38.0","7-6","美浦相沢","504(+2)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"3","3","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","3","6","11","ユウオウマイシン","牡3","牡","3","57.0","木幡育","1:27.9","1","10.0","41.9","37.6","14-12","美浦松永康","470(0)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"4","4","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","4","8","16","ミスティマウンテン","牡3","牡","3","57.0","内田博","1:27.9","クビ","7.0","19.8","38.6","4-3","美浦池上","456(0)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"5","5","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","5","4","7","アリアルブラック","牡3","牡","3","57.0","菅原明","1:28.0","クビ","3.0","7.8","38.4","6-6","美浦久保田","494(0)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"6","6","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","6","3","5","ファリア","牡3","牡","3","57.0","杉原","1:28.1","1/2","13.0","129.3","37.9","12-12","美浦土田","456(+16)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"7","7","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","7","3","6","エムティエスターテ","牡3","牡","3","56.0","☆原","1:28.1","クビ","8.0","23.2","38.7","4-3","美浦矢野","466(-8)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"8","8","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","8","2","4","コーシューパンジャ","牡3","牡","3","57.0","北村宏","1:28.2","3/4","12.0","62.9","38.3","9-9","美浦勢司","500(+4)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"9","9","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","9","1","1","キャストロププ","牡3","牡","3","54.0","▲長浜","1:28.2","ハナ","6.0","18.0","38.3","9-9","美浦尾形","500(0)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"10","10","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","10","5","10","ウインレアリゼ","牝3","牝","3","55.0","三浦","1:28.6","2","5.0","13.7","38.6","9-9","美浦小手川","464(+2)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"11","11","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","11","2","3","シルフラ","牝3","牝","3","55.0","坂井","1:29.6","6","2.0","4.5","40.5","2-1","美浦大竹","448(-6)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"12","12","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","12","5","9","キャンディブーケ","牝3","牝","3","55.0","笹川翼","1:29.7","1","11.0","52.9","39.2","14-14","美浦鈴木伸","418(-8)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
"13","13","2025年2月15日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","13","7","14","プリヤンカー","牝3","牝","3","55.0","津村","1:29.8","1/2","4.0","9.5","40.6","1-2","美浦田島","480(+10)","https://race.netkeiba.com/race/result.html?race_id=202505010501&rf=race_list"
