"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","1","4","8","ゴールドハンマー","牝3","牝","3","55.0","横山典","1:11.3","","1.0","1.1","37.1","2-2","美浦村田","482(0)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"2","2","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","2","6","11","キタノライブリー","牝3","牝","3","55.0","丹内","1:11.9","3.1/2","2.0","7.0","37.6","2-2","美浦本間","442(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"3","3","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","3","7","13","ドナカルナバル","牝3","牝","3","55.0","菅原明","1:12.2","2","7.0","71.3","37.8","4-5","美浦高木","472(0)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"4","4","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","4","7","14","ポートタウランガ","牝3","牝","3","55.0","横山和","1:12.8","3.1/2","3.0","15.8","38.2","6-5","美浦嘉藤","458(+6)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"5","5","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","5","1","1","エレパイオ","牝3","牝","3","55.0","原","1:13.0","1.1/4","11.0","124.4","38.0","10-9","美浦嘉藤","490(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"6","6","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","6","1","2","アミラジオネ","牝3","牝","3","52.0","▲水沼","1:13.2","1.1/2","13.0","163.3","38.7","4-4","美浦西田","464(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"7","7","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","7","3","5","デンリッレハウエル","牝3","牝","3","52.0","▲石田","1:13.3","クビ","5.0","30.5","38.2","11-9","美浦林","402(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"8","8","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","8","6","12","フジルバーブ","牝3","牝","3","55.0","松岡","1:13.4","3/4","6.0","53.7","37.9","12-11","美浦西田","466(0)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"9","9","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","9","3","6","マハーギータ","牝3","牝","3","55.0","田辺","1:13.6","1.1/4","9.0","89.5","38.1","12-11","美浦久保田","434(0)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"10","10","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","10","5","9","ガールネクストドア","牝3","牝","3","55.0","内田博","1:13.7","1/2","10.0","103.4","37.3","16-16","美浦南田","432(-10)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"11","11","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","11","4","7","ヒルビリーエレジー","牝3","牝","3","55.0","吉田豊","1:14.2","3","8.0","81.5","40.1","1-1","美浦戸田","446(+6)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"12","12","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","12","8","15","モモイロカタオモイ","牝3","牝","3","55.0","江田照","1:14.2","ハナ","4.0","24.7","39.4","7-7","美浦村田","418(-8)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"13","13","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","13","2","4","ビップモアナ","牝3","牝","3","55.0","菊沢","1:14.3","クビ","14.0","210.6","39.5","7-8","美浦田島","482(+10)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"14","14","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","14","8","16","スマイルバニラ","牝3","牝","3","52.0","▲遠藤","1:14.9","3.1/2","15.0","252.0","38.8","14-14","美浦黒岩","400(-8)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"15","15","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","15","5","10","キタノエモシオン","牝3","牝","3","55.0","小林脩","1:15.4","2.1/2","16.0","462.1","39.3","14-14","美浦石栗","432(0)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"16","16","2025年3月29日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","小雨","良","16","2","3","ライラックダンサー","牝3","牝","3","52.0","▲長浜","1:18.5","大","12.0","148.8","43.7","7-11","美浦矢嶋","402(0)","https://race.netkeiba.com/race/result.html?race_id=202506030101&rf=race_list"
"17","1","2025年3月29日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","小雨","稍","1","1","1","ロングウェイホーム","牡3","牡","3","57.0","モレイ","1:55.2","","1.0","1.7","38.2","4-4-4-2","美浦伊坂","524(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030102&rf=race_list"
"18","2","2025年3月29日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","小雨","稍","2","5","9","カレラエンブレマ","牡3","牡","3","57.0","松山","1:56.4","7","2.0","6.5","39.6","2-2-2-2","美浦田村","506(-10)","https://race.netkeiba.com/race/result.html?race_id=202506030102&rf=race_list"
"19","3","2025年3月29日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","小雨","稍","3","8","15","セブンスウェイ","牡3","牡","3","57.0","丹内","1:56.4","ハナ","4.0","8.9","38.9","11-10-9-6","美浦清水英","502(+12)","https://race.netkeiba.com/race/result.html?race_id=202506030102&rf=race_list"
"20","4","2025年3月29日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","小雨","稍","4","2","4","ゴールドパートナー","牡3","牡","3","57.0","横山和","1:56.8","2.1/2","3.0","7.1","39.5","6-5-6-4","美浦嘉藤","478(0)","https://race.netkeiba.com/race/result.html?race_id=202506030102&rf=race_list"
