"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","1","4","7","サトノシャムロック","牡3","牡","3","56.0","☆原","1:26.4","","3.0","7.6","36.9","5-6","美浦田中博","504(+12)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"2","2","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","2","2","4","クラウンハート","牡3","牡","3","57.0","石川","1:26.4","クビ","5.0","10.5","36.4","10-10","美浦相沢","502(+8)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"3","3","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","3","5","10","バーンズベリー","牡3","牡","3","57.0","津村","1:26.8","2.1/2","9.0","71.9","37.4","5-4","美浦尾関","464(-12)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"4","4","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","4","6","12","マサノユニコーン","牡3","牡","3","56.0","☆横山琉","1:26.8","ハナ","11.0","233.5","37.0","8-9","美浦小島","464(0)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"5","5","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","5","8","16","キャストロププ","牡3","牡","3","54.0","▲長浜","1:26.9","3/4","4.0","9.7","37.2","7-7","美浦尾形","500(-4)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"6","6","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","6","1","2","ナクライト","牡3","牡","3","57.0","三浦","1:27.0","3/4","2.0","2.8","37.7","4-4","美浦国枝","506(+6)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"7","7","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","7","8","15","フェンスブレイカー","牡3","牡","3","57.0","内田博","1:27.2","1","8.0","30.1","38.0","2-2","美浦田島","552(+16)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"8","8","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","8","7","14","グリームスター","牡3","牡","3","57.0","北村宏","1:27.3","1/2","16.0","642.9","37.0","12-12","美浦勢司","470(+10)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"9","9","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","9","7","13","キープサインオン","牡3","牡","3","57.0","団野","1:27.3","ハナ","7.0","21.3","38.1","2-2","美浦加藤征","472(+2)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"10","10","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","10","4","8","エンジェルラダー","牝3","牝","3","55.0","戸崎圭","1:27.3","アタマ","1.0","2.6","38.2","1-1","美浦木村","474(+6)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"11","11","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","11","3","6","レッドソニード","牡3","牡","3","57.0","横山和","1:27.7","2","6.0","14.5","38.1","8-7","美浦嘉藤","492(+10)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"12","12","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","12","5","9","スーパーホース","セ3","セ","3","57.0","原田和","1:27.8","1/2","14.0","354.3","37.0","14-14","美浦堀内","494(+4)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"13","13","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","13","2","3","ボーマン","牡3","牡","3","57.0","木幡巧","1:28.3","3","12.0","283.5","38.2","10-10","美浦牧","530(0)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
"14","14","2025年2月1日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","14","1","1","エソテリック","牡3","牡","3","57.0","嶋田","1:28.4","クビ","13.0","352.1","38.0","12-12","美浦矢嶋","444(+2)","https://race.netkeiba.com/race/result.html?race_id=202505010101&rf=race_list"
