"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","1","3","6","ライズトゥザトップ","牝3","牝","3","55.0","木幡巧","1:38.1","","6.0","8.7","38.1","4-4","美浦牧","486(+2)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"2","2","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","2","4","7","ジェンダアネモス","牝3","牝","3","55.0","石川","1:38.6","3","10.0","22.3","39.1","1-1","美浦伊坂","436(+2)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"3","3","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","3","1","2","ヴェネチアンレース","牝3","牝","3","55.0","津村","1:39.2","3.1/2","12.0","84.7","38.6","8-8","美浦嘉藤","508(+2)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"4","4","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","4","5","10","ピンキースウェア","牝3","牝","3","54.0","☆高杉","1:39.7","3","4.0","7.5","39.3","6-6","美浦鹿戸","482(+14)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"5","5","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","5","2","3","サウンドリアン","牝3","牝","3","55.0","横山武","1:39.7","クビ","1.0","2.7","39.8","2-2","美浦和田郎","426(-2)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"6","6","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","6","4","8","リカード","牝3","牝","3","55.0","柴田大","1:39.8","3/4","13.0","191.2","38.1","15-14","美浦和田雄","508(0)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"7","7","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","7","5","9","ドリームパンジャ","牝3","牝","3","55.0","シュタ","1:39.9","1/2","11.0","77.1","38.9","11-10","美浦金成","414(-6)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"8","8","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","8","6","11","ミスブランニュデイ","牝3","牝","3","55.0","野中","1:40.4","3","3.0","7.4","39.4","8-10","美浦菊川","450(-2)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"9","9","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","9","3","5","ベルフォン","牝3","牝","3","53.0","△長浜","1:40.4","クビ","15.0","264.4","39.1","13-12","美浦小手川","412(+2)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"10","10","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","10","7","13","アオイハナミチ","牝3","牝","3","55.0","吉田豊","1:40.5","クビ","5.0","8.3","39.9","8-8","美浦高橋文","438(+4)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"11","11","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","11","8","16","ニジノカナタニ","牝3","牝","3","55.0","菅原明","1:40.5","クビ","8.0","22.2","40.2","6-6","美浦中川","464(0)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"12","12","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","12","8","15","タイセイルーマー","牝3","牝","3","55.0","松山","1:40.6","1/2","2.0","6.4","40.6","4-4","美浦斎藤誠","464(0)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"13","13","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","13","2","4","フクチャンサクラ","牝3","牝","3","55.0","三浦","1:40.7","クビ","7.0","18.2","40.9","2-2","美浦加藤征","476(0)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"14","14","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","14","6","12","コーンポピー","牝3","牝","3","55.0","原","1:42.5","大","16.0","297.8","40.8","11-14","美浦稲垣","426(0)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"15","15","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","15","1","1","オスカージュディ","牝3","牝","3","55.0","江田照","1:44.3","大","14.0","256.2","43.0","13-12","美浦小島","438(+12)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"16","16","2025年4月26日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","稍","中止","7","14","リュクスビスケッツ","牝3","牝","3","55.0","ディー","","","9.0","22.2","","15","美浦加藤士","472(+4)","https://race.netkeiba.com/race/result.html?race_id=202505020101&rf=race_list"
"17","1","2025年4月26日","東京","2R","3歳未勝利","ダ1400m (左)","10:40","曇","稍","1","4","7","アイアムイチバン","牡3","牡","3","57.0","松岡","1:25.8","","7.0","32.0","36.7","1-1","美浦奥平","502(-8)","https://race.netkeiba.com/race/result.html?race_id=202505020102&rf=race_list"
"18","2","2025年4月26日","東京","2R","3歳未勝利","ダ1400m (左)","10:40","曇","稍","2","5","9","アラスカフレイバー","牡3","牡","3","57.0","戸崎圭","1:25.8","アタマ","1.0","2.2","36.6","2-2","美浦松永康","508(-2)","https://race.netkeiba.com/race/result.html?race_id=202505020102&rf=race_list"
"19","3","2025年4月26日","東京","2R","3歳未勝利","ダ1400m (左)","10:40","曇","稍","3","3","5","テーオーライマン","牡3","牡","3","56.0","☆高杉","1:25.8","クビ","4.0","9.7","36.0","8-10","栗東宮","456(-2)","https://race.netkeiba.com/race/result.html?race_id=202505020102&rf=race_list"
"20","4","2025年4月26日","東京","2R","3歳未勝利","ダ1400m (左)","10:40","曇","稍","4","6","11","ミスティマウンテン","牡3","牡","3","57.0","横山武","1:26.1","2","5.0","13.3","36.6","4-4","美浦池上","446(-4)","https://race.netkeiba.com/race/result.html?race_id=202505020102&rf=race_list"
