"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","1","1","1","シャンドゥレール","セ4","セ","4","60.0","伴","3:05.4","","8.0","22.6","13.0","3-3-3-1","美浦国枝","494(-8)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"2","2","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","2","2","2","ヴラディア","牡5","牡","5","60.0","上野","3:06.2","5","3.0","4.6","13.1","4-4-4-3","美浦小西","490(-6)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"3","3","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","3","6","7","サルサロッサ","牝5","牝","5","58.0","井上","3:06.7","3","6.0","13.7","13.1","1-1-1-2","美浦高柳瑞","444(-8)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"4","4","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","4","5","5","グローツラング","牡5","牡","5","60.0","中村","3:07.3","3.1/2","1.0","3.3","13.1","6-5-5-3","栗東安達","530(-2)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"5","5","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","5","8","11","ノアチェリー","牝5","牝","5","58.0","大江圭","3:07.3","クビ","2.0","3.7","13.1","9-9-6-6","美浦小笠","468(-4)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"6","6","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","6","4","4","クラウンセト","牡5","牡","5","60.0","草野","3:08.4","7","5.0","9.6","13.2","2-2-2-5","美浦本間","454(+4)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"7","7","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","7","7","10","タイセイモンストル","牡7","牡","7","60.0","江田勇","3:09.4","6","10.0","38.8","13.3","7-7-9-9","美浦新開","478(-4)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"8","8","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","8","6","8","ヒルノショパン","牡5","牡","5","60.0","森一","3:09.6","1.1/4","4.0","9.1","13.3","9-9-10-10","栗東昆","446(-12)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"9","9","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","9","3","3","エンライトメント","牡4","牡","4","60.0","石神深","3:11.5","大","9.0","27.5","13.4","8-8-6-7","美浦斎藤誠","484(+6)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"10","10","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","10","8","12","クリノサンバ","牝5","牝","5","57.0","▲土田","3:11.8","2","12.0","208.6","13.5","11-11-11-11","美浦石毛","478(+12)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"11","11","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","11","5","6","サンマルクレイジー","牡5","牡","5","57.0","▲坂口","3:12.1","2","11.0","79.6","13.5","4-5-8-8","美浦土田","418(-10)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"12","12","2024年8月17日","新潟","1R","3歳以上障害未勝利","障2850m (芝 外-内)","10:10","晴","良","中止","7","9","タイセイエピソード","牡5","牡","5","60.0","五十嵐","","","7.0","14.6","","","美浦千葉","480(0)","https://race.netkeiba.com/race/result.html?race_id=202404030301&rf=race_list"
"13","1","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","1","2","2","ミダース","牡3","牡","3","57.0","ルメー","1:54.6","","1.0","1.6","39.8","5-4-4-3","美浦栗田","512(+6)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"14","2","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","2","4","5","リベルテ","牡3","牡","3","57.0","菅原明","1:55.5","5","7.0","31.9","40.3","5-5-5-5","美浦高木","472(0)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"15","3","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","3","5","8","コーリンカルベラ","牡3","牡","3","57.0","菅原隆","1:55.7","1.1/4","12.0","116.7","39.7","11-11-8-8","美浦小野","480(-18)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"16","4","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","4","1","1","イデアイゴッソウ","牡3","牡","3","57.0","木幡育","1:56.0","1.3/4","2.0","4.2","40.5","9-9-6-6","美浦松永康","462(+4)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"17","5","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","5","7","11","アルファウィンザー","牡3","牡","3","54.0","▲土田","1:56.4","2.1/2","9.0","40.7","40.1","13-13-10-9","美浦田村","438(0)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"18","6","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","6","7","12","グブリーサビタン","牡3","牡","3","57.0","内田博","1:56.6","3/4","11.0","94.9","40.3","11-12-10-10","美浦中舘","454(+2)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"19","7","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","7","3","3","ブルズアイ","牡3","牡","3","57.0","原田和","1:56.8","1.1/4","6.0","26.1","41.4","7-7-6-6","美浦松山","542(-14)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"20","8","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","8","5","7","ミツカネトーラス","牡3","牡","3","53.0","★大江比","1:56.9","1/2","4.0","14.1","42.4","2-2-3-4","美浦鈴木伸","490(-4)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"21","9","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","9","8","14","グアラニア","牡3","牡","3","57.0","菊沢","1:57.6","4","5.0","15.2","43.8","1-1-1-1","美浦矢野","474(-2)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"22","10","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","10","6","10","フリューゲルコア","牡3","牡","3","57.0","津村","1:58.3","4","3.0","10.0","44.3","2-2-2-2","美浦鈴木慎","498(+14)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"23","11","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","11","4","6","クイーンズクラウン","牝3","牝","3","55.0","岩田康","1:58.8","2.1/2","10.0","65.2","42.5","10-10-10-11","美浦宮田","494(0)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"24","12","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","12","8","13","ティアップファイト","牡3","牡","3","57.0","江田照","2:00.7","大","13.0","156.3","44.2","7-8-13-13","美浦奥平","474(+4)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"25","13","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","13","3","4","スカイブライトネス","牡3","牡","3","56.0","☆原","2:01.3","3.1/2","8.0","33.1","45.2","4-5-8-11","美浦蛯名正","452(+4)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"26","14","2024年8月17日","新潟","2R","3歳未勝利","ダ1800m (左)","10:45","晴","良","14","6","9","クインタレッリ","牡3","牡","3","54.0","▲石田","2:02.0","4","14.0","304.4","43.8","14-14-14-14","美浦尾形","498(+4)","https://race.netkeiba.com/race/result.html?race_id=202404030302&rf=race_list"
"27","1","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","1","2","2","ニシノリンダ","牝2","牝","2","54.0","☆原","1:13.0","","2.0","3.2","38.2","2-2","美浦青木","428(-4)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"28","2","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","2","3","5","スリーピース","牡2","牡","2","55.0","三浦","1:13.3","1.1/2","1.0","2.5","38.3","4-4","美浦武井","452(-6)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"29","3","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","3","7","13","ケイツーギルダー","牡2","牡","2","55.0","柴田善","1:13.5","1.1/4","6.0","15.7","37.8","6-6","美浦千葉","496(0)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"30","4","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","4","4","6","アウダース","牡2","牡","2","55.0","石橋脩","1:13.7","1.1/4","8.0","22.9","39.3","1-1","美浦加藤士","474(-6)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"31","5","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","5","3","4","バム","牡2","牡","2","55.0","岩部","1:14.0","2","7.0","17.3","38.3","6-6","美浦奥平","438(+4)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"32","6","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","6","5","8","ブラックトルネード","牡2","牡","2","55.0","江田照","1:14.3","1.1/2","5.0","13.2","38.9","5-5","美浦佐藤吉","438(-4)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"33","7","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","7","8","15","ノアプレスリー","牡2","牡","2","55.0","武藤","1:14.5","1.1/2","9.0","52.8","38.3","9-9","美浦武藤","478(-2)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"34","8","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","8","6","11","タイセイフランク","牡2","牡","2","55.0","岩田康","1:14.6","1/2","4.0","12.9","39.9","2-3","美浦栗田","476(+6)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"35","9","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","9","5","9","ダブルメッセージ","牡2","牡","2","52.0","▲石神道","1:14.7","1/2","10.0","70.4","38.9","8-8","美浦和田郎","468(-8)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"36","10","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","10","6","10","トリリオンボーイ","牡2","牡","2","55.0","松岡","1:15.3","3.1/2","3.0","5.8","38.6","10-10","美浦武井","454(+4)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"37","11","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","11","1","1","フミエ","牝2","牝","2","55.0","木幡初","1:16.0","4","12.0","139.3","39.2","11-12","美浦西田","446(0)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"38","12","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","12","2","3","カンタベリーバイク","牡2","牡","2","55.0","木幡巧","1:16.0","クビ","13.0","169.0","38.6","14-14","美浦的場","448(+8)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"39","13","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","13","8","14","アズーラ","牝2","牝","2","52.0","▲石田","1:16.2","1.1/2","11.0","115.0","39.4","11-11","美浦佐藤吉","416(0)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"40","14","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","14","4","7","サクラジマ","牡2","牡","2","51.0","★大江比","1:16.5","1.3/4","14.0","173.4","39.3","13-13","美浦高橋文","426(-14)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"41","15","2024年8月17日","新潟","3R","2歳未勝利","ダ1200m (左)","11:15","晴","良","15","7","12","セカンドトゥノン","牝2","牝","2","55.0","柴田大","1:17.7","7","15.0","251.3","40.3","14-14","美浦伊藤大","414(-12)","https://race.netkeiba.com/race/result.html?race_id=202404030303&rf=race_list"
"42","1","2024年8月17日","新潟","4R","3歳以上障害OP","障2850m (芝 外-内)","11:45","晴","良","1","7","7","レッドバロッサ","セ5","セ","5","60.0","小牧加","3:04.3","","3.0","5.8","12.9","5-4-2-2","栗東音無","504(+6)","https://race.netkeiba.com/race/result.html?race_id=202404030304&rf=race_list"
"43","2","2024年8月17日","新潟","4R","3歳以上障害OP","障2850m (芝 外-内)","11:45","晴","良","2","8","8","ビートザレコード","牡5","牡","5","60.0","上野","3:04.8","3","1.0","2.5","13.0","3-3-4-4","美浦戸田","476(-2)","https://race.netkeiba.com/race/result.html?race_id=202404030304&rf=race_list"
"44","3","2024年8月17日","新潟","4R","3歳以上障害OP","障2850m (芝 外-内)","11:45","晴","良","3","3","3","スピアヘッド","牡5","牡","5","57.0","▲坂口","3:05.2","2.1/2","4.0","6.9","13.0","5-4-3-3","美浦菊川","442(0)","https://race.netkeiba.com/race/result.html?race_id=202404030304&rf=race_list"
"45","4","2024年8月17日","新潟","4R","3歳以上障害OP","障2850m (芝 外-内)","11:45","晴","良","4","6","6","ケンアンビシャス","牡6","牡","6","60.0","五十嵐","3:05.2","ハナ","2.0","3.9","13.0","1-1-1-1","美浦久保田","482(+6)","https://race.netkeiba.com/race/result.html?race_id=202404030304&rf=race_list"
"46","5","2024年8月17日","新潟","4R","3歳以上障害OP","障2850m (芝 外-内)","11:45","晴","良","5","1","1","ファルヴォーレ","牡6","牡","6","60.0","難波","3:06.1","5","5.0","8.5","13.1","7-7-6-6","栗東高橋忠","456(-2)","https://race.netkeiba.com/race/result.html?race_id=202404030304&rf=race_list"
"47","6","2024年8月17日","新潟","4R","3歳以上障害OP","障2850m (芝 外-内)","11:45","晴","良","6","8","9","ルヴェルディ","牡5","牡","5","60.0","伴","3:06.2","クビ","6.0","16.9","13.1","2-2-4-5","美浦黒岩","492(+4)","https://race.netkeiba.com/race/result.html?race_id=202404030304&rf=race_list"
"48","7","2024年8月17日","新潟","4R","3歳以上障害OP","障2850m (芝 外-内)","11:45","晴","良","7","2","2","アンブロジオ","セ9","セ","9","60.0","金子","3:06.5","2","7.0","17.5","13.1","7-7-8-8","美浦菊沢","462(0)","https://race.netkeiba.com/race/result.html?race_id=202404030304&rf=race_list"
