"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","1","1","1","フクチャンヒメ","牝3","牝","3","55.0","ルメー","1:12.3","","2.0","3.6","37.7","2-2","美浦加藤征","474(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"2","2","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","2","2","3","クインズシフォン","牝3","牝","3","52.0","▲石神道","1:12.3","ハナ","8.0","52.6","37.4","3-3","美浦和田郎","448(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"3","3","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","3","4","7","ステラマテュティナ","牝3","牝","3","55.0","内田博","1:13.2","5","7.0","38.3","38.2","5-4","美浦高柳瑞","434(-12)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"4","4","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","4","7","14","ミサビスケッツ","牝3","牝","3","55.0","吉田豊","1:13.4","1.1/4","4.0","11.7","37.6","13-10","美浦村田","436(+2)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"5","5","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","5","6","12","エーデルムート","牝3","牝","3","55.0","原","1:13.4","ハナ","9.0","81.0","38.3","6-4","美浦矢野","446(-6)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"6","6","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","6","7","13","ミニョンマルーン","牝3","牝","3","52.0","▲長浜","1:13.7","2","1.0","1.6","39.2","1-1","美浦伊藤圭","458(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"7","7","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","7","6","11","サンパギータチャン","牝3","牝","3","52.0","▲佐藤","1:14.0","1.3/4","16.0","311.1","37.7","14-13","美浦杉浦","390(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"8","8","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","8","3","6","ヴィーナスゼファー","牝3","牝","3","55.0","横山武","1:14.0","ハナ","3.0","9.0","38.3","11-9","美浦斎藤誠","488(-6)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"9","9","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","9","3","5","シンフォニーシーズ","牝3","牝","3","55.0","丹内","1:14.2","1.1/4","11.0","134.0","37.5","15-15","美浦清水英","450(0)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
"10","10","2025年3月15日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","10","4","8","セイリオス","牝3","牝","3","55.0","杉原","1:14.3","クビ","10.0","119.2","39.0","8-7","美浦宮田","472(0)","https://race.netkeiba.com/race/result.html?race_id=202506020501&rf=race_list"
