"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","1","2","2","エンヴィーミー","牝2","牝","2","55.0","三浦","1:08.8","","2.0","5.6","35.2","1-1","栗東森秀","452(0)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"2","2","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","2","4","4","フクチャンショウ","牡2","牡","2","55.0","戸崎圭","1:09.2","2.1/2","5.0","14.9","34.7","7-3","美浦加藤征","430(0)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"3","3","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","3","8","9","カレンデュラ","牝2","牝","2","55.0","丸田","1:09.5","2","4.0","8.8","35.8","2-2","美浦南田","418(+2)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"4","4","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","4","3","3","スレドナゴラ","牝2","牝","2","52.0","▲石田","1:09.8","1.1/2","7.0","46.6","35.3","7-8","美浦田中勝","450(+2)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"5","5","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","5","7","7","リュウノエッセンス","牝2","牝","2","52.0","▲遠藤","1:10.1","2","9.0","64.3","34.9","9-9","美浦伊藤伸","432(-4)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"6","6","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","6","5","5","フォトンゲイザー","牡2","牡","2","55.0","石橋脩","1:10.2","1/2","3.0","6.5","36.2","5-6","美浦牧","424(+2)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"7","7","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","7","1","1","アレステソーロ","牡2","牡","2","55.0","柴田大","1:10.3","3/4","6.0","41.9","36.3","5-6","美浦田中剛","460(-4)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"8","8","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","8","6","6","ナムラリアン","牝2","牝","2","55.0","武藤","1:11.3","6","8.0","54.5","37.4","4-3","美浦武藤","398(-8)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"9","9","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","9","8","10","ベルバード","牝2","牝","2","55.0","ルメー","1:12.0","4","1.0","1.5","38.2","2-3","美浦武井","442(+4)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
"10","10","2025年6月28日","福島","1R","2歳未勝利","芝1200m (右A)","10:10","晴","良","10","7","8","マジックショー","牡2","牡","2","55.0","内田博","1:14.3","大","10.0","272.5","37.6","10-10","美浦奥平","434(+6)","https://race.netkeiba.com/race/result.html?race_id=202503020101&rf=race_list"
