"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","1","6","12","ペイシャマリーン","牝3","牝","3","55.0","丹内","1:12.7","","1","1.6","37.8","3-2","美浦菊川","456(+2)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"2","2","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","2","7","13","セギレエルビエント","牝3","牝","3","55.0","荻野極","1:12.9","1.1/4","6","14.5","37.8","5-4","美浦伊坂","456(+14)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"3","3","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","3","1","2","レイオーバー","牡3","牡","3","57.0","内田博","1:13.1","1","2","5.5","38.1","3-4","美浦本間","468(+4)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"4","4","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","4","2","4","ユイノマホウジン","牡3","牡","3","57.0","戸崎圭","1:13.3","1.1/2","3","8.8","38.6","1-1","美浦深山","460(+16)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"5","5","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","5","8","16","ダイチラポール","牡3","牡","3","54.0","▲長浜","1:13.9","3.1/2","4","12.7","38.7","5-4","美浦蛯名利","476(0)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"6","6","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","6","4","7","サラサエンペラー","牡3","牡","3","57.0","横山和","1:14.0","クビ","5","14.2","38.8","5-4","美浦村田","472(+6)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"7","7","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","7","8","15","エネルゲイア","牡3","牡","3","57.0","菊沢","1:14.3","1.3/4","8","37.6","38.4","12-13","美浦清水英","472(+6)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"8","8","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","8","5","10","ショージージョ","セ3","セ","3","57.0","武藤","1:14.3","ハナ","16","336.4","38.3","14-8","美浦小笠","526(0)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"9","9","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","9","7","14","セレブウマザンマイ","牝3","牝","3","54.0","☆原","1:14.4","3/4","10","122.6","38.7","11-12","美浦青木","432(+12)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
"10","10","2025年1月18日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","10","2","3","ルラクソント","牡3","牡","3","57.0","杉原","1:14.5","クビ","14","271.7","39.2","8-8","美浦中川","480(+2)","https://race.netkeiba.com/race/result.html?race_id=202506010601&rf=race_list"
