"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","1","8","14","レディーフランシス","牝3","牝","3","55.0","大野","1:55.1","","2.0","3.0","38.2","12-11-2-2","美浦和田勇","440(0)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"2","2","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","2","2","2","デルマアポロニア","牝3","牝","3","55.0","松岡","1:55.6","3","3.0","4.2","38.9","1-1-1-1","美浦蛯名正","480(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"3","3","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","3","6","9","モーニングマジック","牝3","牝","3","55.0","三浦","1:56.0","2.1/2","4.0","11.7","38.9","8-8-4-4","美浦武藤","516(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"4","4","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","4","7","12","ロミヒ","牝3","牝","3","55.0","川田","1:56.7","4","1.0","1.9","39.9","3-3-2-2","美浦伊藤圭","492(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"5","5","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","5","4","5","ノメンターノ","牝3","牝","3","55.0","津村","1:57.1","2.1/2","7.0","97.9","40.1","3-3-4-4","美浦武市","434(0)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"6","6","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","6","8","13","ラブリールチア","牝3","牝","3","55.0","吉田豊","1:57.7","3.1/2","6.0","41.2","40.3","9-9-6-6","美浦高橋文","524(+2)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"7","7","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","7","1","1","クロメヒョウ","牝3","牝","3","55.0","小林凌","1:58.1","2.1/2","5.0","29.6","40.3","9-9-9-7","美浦小西","466(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"8","8","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","8","6","10","ニューエラ","牝3","牝","3","55.0","石橋脩","1:58.4","1.3/4","13.0","440.8","40.2","14-14-14-10","美浦池上","428(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"9","9","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","9","3","3","スカーレットクロス","牝3","牝","3","52.0","▲今村","1:58.4","クビ","10.0","219.2","40.6","6-6-9-8","美浦土田","442(-10)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"10","10","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","10","4","6","アルデムラータ","牝3","牝","3","55.0","江田照","1:59.4","6","8.0","202.2","41.5","13-13-11-8","美浦村田","408(0)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"11","11","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","11","5","8","ワンショートデイ","牝3","牝","3","55.0","木幡巧","2:00.5","7","9.0","207.4","42.9","5-5-8-12","美浦本間","450(-8)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"12","12","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","12","3","4","マルリンモンロー","牝3","牝","3","55.0","原","2:00.8","1.1/2","11.0","278.7","42.7","11-11-12-11","美浦青木","512(0)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"13","13","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","13","7","11","オカノマルコチャン","牝3","牝","3","52.0","▲長浜","2:04.1","大","12.0","420.7","46.1","6-6-12-14","美浦的場","436(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"14","14","2025年4月12日","中山","1R","3歳未勝利","ダ1800m (右)","10:05","晴","稍","14","5","7","ロジディーズ","牝3","牝","3","55.0","野中","2:07.4","大","14.0","584.9","50.0","2-2-6-13","美浦新開","450(-10)","https://race.netkeiba.com/race/result.html?race_id=202506030501&rf=race_list"
"15","1","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","1","8","16","ビーアイフォルテ","牝3","牝","3","55.0","岩田康","1:11.9","","3.0","6.3","37.3","1-1","栗東牧田","432(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"16","2","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","2","6","12","タブロー","牝3","牝","3","55.0","松岡","1:12.3","2","4.0","12.0","37.6","2-2","美浦矢野","456(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"17","3","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","3","5","10","アンエクスプロード","牡3","牡","3","57.0","三浦","1:12.5","1.1/4","1.0","1.9","37.7","3-3","美浦池上","496(-16)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"18","4","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","4","5","9","ナックオリオン","牡3","牡","3","57.0","木幡巧","1:12.8","2","2.0","4.1","37.9","3-3","美浦杉浦","468(0)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"19","5","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","5","3","6","ロッカバイベイビー","牝3","牝","3","52.0","▲長浜","1:13.0","1","5.0","16.5","37.3","11-11","美浦伊藤圭","440(0)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"20","6","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","6","7","14","レクエルド","牡3","牡","3","57.0","丸田","1:13.0","ハナ","10.0","60.5","36.9","15-14","美浦奥平","484(-20)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"21","7","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","7","2","4","ハクサンハナビ","牝3","牝","3","55.0","田辺","1:13.1","クビ","13.0","136.3","38.3","3-3","美浦加藤士","438(0)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"22","8","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","8","6","11","ゲンキイッパイ","牡3","牡","3","57.0","杉原","1:13.1","クビ","12.0","131.5","37.0","15-15","美浦石栗","498(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"23","9","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","9","7","13","ブレードダンシング","牡3","牡","3","57.0","石橋脩","1:13.2","クビ","8.0","33.4","38.1","6-6","美浦岩戸","458(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"24","10","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","10","1","2","カイトリヒト","牡3","牡","3","57.0","津村","1:13.3","1","6.0","20.6","38.2","6-6","美浦武市","492(-8)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"25","11","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","11","1","1","アースカムイ","牡3","牡","3","57.0","小林凌","1:13.5","1","11.0","85.0","37.9","11-9","美浦小西","480(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"26","12","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","12","3","5","グリームスター","牡3","牡","3","57.0","北村宏","1:13.6","クビ","7.0","25.9","38.2","8-8","美浦勢司","452(-12)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"27","13","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","13","8","15","キーベスト","牡3","牡","3","57.0","原","1:13.7","1/2","9.0","41.1","38.2","10-11","美浦黒岩","500(+2)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"28","14","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","14","4","8","ショージージョ","セ3","セ","3","57.0","江田照","1:14.1","2.1/2","14.0","245.2","38.7","8-9","美浦小笠","510(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"29","15","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","15","2","3","ヘッズアップ","牡3","牡","3","57.0","野中","1:14.3","3/4","15.0","297.0","38.5","13-13","美浦松山","452(0)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"30","16","2025年4月12日","中山","2R","3歳未勝利","ダ1200m (右)","10:35","晴","稍","16","4","7","アドラマリク","牡3","牡","3","54.0","▲舟山","1:14.5","1.1/2","16.0","344.3","38.7","13-15","美浦稲垣","478(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030502&rf=race_list"
"31","1","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","1","2","2","ヴィーデ","牡3","牡","3","57.0","三浦","1:54.9","","1.0","3.1","38.8","1-1-1-1","美浦戸田","474(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"32","2","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","2","8","12","プロフェータ","牡3","牡","3","57.0","戸崎圭","1:55.1","1","3.0","4.7","38.3","7-7-4-4","美浦斎藤誠","462(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"33","3","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","3","5","7","エマージェンス","牡3","牡","3","57.0","岩田康","1:55.3","1.1/4","2.0","3.3","38.8","3-3-3-2","美浦堀内","498(-8)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"34","4","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","4","5","6","テルケンレンスター","牡3","牡","3","57.0","横山武","1:56.0","4","5.0","8.6","39.7","2-2-2-2","美浦高柳瑞","476(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"35","5","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","5","7","11","タキノボリ","牡3","牡","3","57.0","北村宏","1:56.2","1.1/4","4.0","8.4","38.9","8-8-7-7","美浦勢司","454(0)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"36","6","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","6","3","3","ピノルージュ","牝3","牝","3","52.0","▲舟山","1:56.6","2.1/2","10.0","152.4","38.9","8-8-9-9","美浦上原佑","456(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"37","7","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","7","1","1","ブラーブデシジョン","牡3","牡","3","57.0","木幡巧","1:56.8","3/4","9.0","93.8","40.0","4-4-4-5","美浦牧","458(0)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"38","8","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","8","4","5","ガイ","牡3","牡","3","57.0","菅原明","1:56.9","1/2","11.0","156.6","39.7","6-6-7-7","美浦高木","462(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"39","9","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","9","8","13","リバティフレイム","牡3","牡","3","57.0","横山和","1:57.1","1.1/2","7.0","25.8","39.1","11-10-10-10","美浦嘉藤","518(0)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"40","10","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","10","4","4","ドリームジャック","セ3","セ","3","57.0","丸田","1:57.5","2.1/2","13.0","443.6","39.0","11-10-11-11","美浦加藤和","482(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"41","11","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","11","6","8","ポッドロワール","牡3","牡","3","57.0","原","1:57.7","3/4","6.0","8.7","40.9","4-4-4-5","美浦畠山","492(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"42","12","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","12","7","10","キタノロジック","牡3","牡","3","57.0","石橋脩","1:58.1","2.1/2","8.0","79.3","39.3","13-12-12-12","栗東畑端","478(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"43","13","2025年4月12日","中山","3R","3歳未勝利","ダ1800m (右)","11:05","晴","稍","中止","6","9","スターコンパス","牡3","牡","3","54.0","▲長浜","","","12.0","329.9","","8-13","美浦根本","472(0)","https://race.netkeiba.com/race/result.html?race_id=202506030503&rf=race_list"
"44","1","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","1","5","7","ミヤジシャルマン","牡5","牡","5","60.0","高田","3:34.2","","1.0","2.3","13.4","6-3-2-2","栗東宮地","510(-8)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"45","2","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","2","4","5","コンテナワールド","牡4","牡","4","57.0","▲井上","3:34.7","3","5.0","12.0","13.4","1-1-1-1","栗東中竹","478(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"46","3","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","3","7","11","エンデュミオン","牡8","牡","8","59.0","▲鷲頭","3:36.3","10","4.0","8.2","13.5","8-8-4-3","栗東清水久","468(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"47","4","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","4","5","8","フォージドブリック","牡4","牡","4","59.0","大江圭","3:37.0","4","3.0","6.4","13.6","2-2-3-4","美浦西田","548(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"48","5","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","5","4","6","タイキフロリゼル","牡7","牡","7","62.0","黒岩","3:37.7","4","10.0","32.2","13.6","10-9-5-5","栗東谷","478(0)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"49","6","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","6","3","3","タンジェントアーク","セ7","セ","7","60.0","五十嵐","3:37.9","1.1/2","6.0","12.7","13.6","14-14-9-7","美浦田村","440(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"50","7","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","7","6","10","エターナリー","牡8","牡","8","60.0","石神深","3:38.7","5","8.0","18.9","13.7","6-6-5-6","美浦池上","470(+2)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"51","8","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","8","2","2","テンメジャーガール","牝6","牝","6","58.0","小野寺","3:38.9","1","7.0","16.4","13.7","11-11-10-9","栗東高柳大","504(+2)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"52","9","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","9","7","12","ピンポイントドロー","牡5","牡","5","57.0","▲土田","3:38.9","ハナ","12.0","54.0","13.7","13-13-12-9","美浦田中勝","506(+6)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"53","10","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","10","3","4","ルレーヴドゥリリ","牝8","牝","8","57.0","▲坂口","3:39.0","1/2","11.0","47.9","13.7","9-9-14-12","美浦田中剛","516(-10)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
"54","11","2025年4月12日","中山","4R","4歳以上障害OP","障3200m (芝 ダート)","11:35","晴","良","11","6","9","シャンドゥレール","セ5","セ","5","60.0","上野","3:39.4","2","2.0","6.4","13.7","4-5-7-8","美浦国枝","500(+6)","https://race.netkeiba.com/race/result.html?race_id=202506030504&rf=race_list"
