"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","1","2","3","ロフティストーリー","牝3","牝","3","55.0","田辺","1:38.0","","2.0","4.9","36.8","6-7","美浦久保田","502(+6)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"2","2","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","2","7","13","マキャベリー","牝3","牝","3","55.0","菅原明","1:38.2","1.1/4","4.0","10.1","37.1","6-6","美浦黒岩","472(0)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"3","3","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","3","5","9","サンタアニタ","牝3","牝","3","55.0","レーン","1:38.3","クビ","1.0","1.9","37.3","3-3","美浦斎藤誠","470(0)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"4","4","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","4","3","5","ドリームパンジャ","牝3","牝","3","52.0","▲石神道","1:38.4","1","12.0","206.3","36.8","9-9","美浦金成","412(-2)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"5","5","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","5","6","11","クロウソング","牝3","牝","3","55.0","丸山","1:38.5","3/4","5.0","13.4","36.2","13-13","美浦千葉","454(+2)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"6","6","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","6","4","8","アルマリカシバ","牝3","牝","3","55.0","大野","1:38.7","1.1/4","9.0","48.6","37.8","3-3","美浦中舘","462(+4)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"7","7","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","7","5","10","シックスレイヴンズ","牝3","牝","3","55.0","木幡巧","1:38.8","クビ","15.0","340.6","38.1","1-1","美浦岩戸","448(0)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"8","8","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","8","8","16","アウスラフラッグ","牝3","牝","3","55.0","菊沢","1:39.3","3","13.0","214.5","38.6","2-2","美浦高柳瑞","466(-6)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"9","9","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","9","7","14","ヌンルチル","牝3","牝","3","55.0","石橋脩","1:39.9","3.1/2","10.0","89.4","39.0","3-3","美浦勢司","468(+2)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
"10","10","2025年6月14日","東京","1R","3歳未勝利","ダ1600m (左)","10:10","曇","良","10","1","1","クインズエクレア","牝3","牝","3","55.0","津村","1:40.1","1.1/2","3.0","5.8","38.1","9-11","美浦加藤征","474(0)","https://race.netkeiba.com/race/result.html?race_id=202505030301&rf=race_list"
