"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","1","4","5","ドナカルナバル","牝3","牝","3","55.0","菅原明","1:11.9","","2.0","3.8","37.1","1-1","美浦高木","476(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"2","2","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","2","6","10","ハーモニーソング","牝3","牝","3","55.0","モレイ","1:11.9","クビ","1.0","1.3","37.0","3-3","美浦田島","456(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"3","3","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","3","5","8","ピコグリーン","牝3","牝","3","55.0","木幡巧","1:12.7","5","12.0","102.0","37.6","4-4","美浦牧","454(+2)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"4","4","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","4","6","9","シンガソング","牝3","牝","3","55.0","杉原","1:13.2","3","3.0","14.1","38.0","4-5","美浦土田","428(0)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"5","5","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","5","8","13","サトミノマリア","牝3","牝","3","55.0","津村","1:13.3","3/4","4.0","26.4","37.4","7-7","美浦鈴木伸","492(0)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"6","6","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","6","3","4","シスター","牝3","牝","3","55.0","北村宏","1:13.4","クビ","7.0","49.4","37.3","8-8","美浦勢司","484(0)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"7","7","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","7","4","6","ラヴィングユー","牝3","牝","3","52.0","▲佐藤","1:13.7","1.3/4","5.0","35.7","38.9","2-2","栗東谷","496(0)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"8","8","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","8","3","3","キカオクベシ","牝3","牝","3","53.0","△長浜","1:13.7","クビ","9.0","78.0","36.0","14-14","美浦根本","448(0)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"9","9","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","9","8","14","エウテルペ","牝3","牝","3","55.0","石川","1:13.9","1","10.0","81.9","37.4","11-11","美浦和田郎","456(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"10","10","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","10","7","12","カシノベティ","牝3","牝","3","52.0","▲土田","1:14.3","2.1/2","14.0","327.8","38.5","6-6","美浦和田雄","448(0)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"11","11","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","11","2","2","ギフトバスケット","牝3","牝","3","55.0","内田博","1:14.3","アタマ","8.0","69.5","37.0","13-13","美浦小西","412(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"12","12","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","12","5","7","トロピカルレイン","牝3","牝","3","55.0","三浦","1:14.4","3/4","6.0","42.9","38.2","8-8","栗東斉藤崇","478(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"13","13","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","13","1","1","アカイツキ","牝3","牝","3","55.0","松岡","1:15.2","5","13.0","183.1","38.7","11-11","栗東牧田","482(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"14","14","2025年4月19日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","良","14","7","11","リリアンファスト","牝3","牝","3","55.0","横山和","1:15.3","1/2","11.0","89.7","39.1","8-10","美浦嘉藤","442(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030701&rf=race_list"
"15","1","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","1","4","4","リザードアイランド","牡3","牡","3","57.0","横山和","1:53.3","","3.0","3.8","37.6","2-2-2-2","美浦田村","482(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"16","2","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","2","6","6","スコーピオンイメル","牡3","牡","3","57.0","石橋脩","1:54.0","4","1.0","2.4","38.9","1-1-1-1","栗東武英","490(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"17","3","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","3","3","3","セブンスウェイ","牡3","牡","3","57.0","丸田","1:54.7","4","4.0","10.9","38.8","4-3-3-3","美浦清水英","498(-4)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"18","4","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","4","2","2","マーゴットゲイン","牡3","牡","3","57.0","木幡巧","1:55.2","2.1/2","6.0","34.3","37.8","10-10-10-8","美浦伊坂","466(+6)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"19","5","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","5","1","1","カーフキック","牡3","牡","3","57.0","モレイ","1:55.4","1.1/4","2.0","2.6","39.2","5-5-4-4","美浦高橋文","446(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"20","6","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","6","8","10","パブリックスフィア","牡3","牡","3","57.0","北村宏","1:55.6","1.1/2","8.0","80.8","39.1","5-5-6-5","美浦奥村武","454(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"21","7","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","7","7","8","ブラーブデシジョン","牡3","牡","3","57.0","野中","1:56.7","7","7.0","51.7","40.3","3-3-5-5","美浦牧","456(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"22","8","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","8","8","9","ロジアヴァンセ","牡3","牡","3","57.0","三浦","1:57.3","3.1/2","5.0","22.1","40.0","9-9-9-10","美浦新開","500(+2)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"23","9","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","9","7","7","キャバリエクエスト","牡3","牡","3","55.0","△長浜","1:58.0","4","9.0","260.0","41.0","8-8-7-8","美浦大和田","474(+6)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"24","10","2025年4月19日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","良","10","5","5","リネンフラッシュ","セ3","セ","3","57.0","柴田大","1:58.7","4","10.0","287.5","41.8","5-5-7-7","美浦粕谷","450(+4)","https://race.netkeiba.com/race/result.html?race_id=202506030702&rf=race_list"
"25","1","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","1","1","1","ショーモッシュ","牡3","牡","3","57.0","横山武","1:12.8","","2.0","4.3","37.5","1-1","美浦鈴木伸","504(0)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"26","2","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","2","4","8","ショウナンラリー","牡3","牡","3","57.0","吉田豊","1:12.8","クビ","1.0","2.3","37.4","2-2","美浦嘉藤","482(-8)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"27","3","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","3","7","13","エスシーレベッカ","牝3","牝","3","55.0","田辺","1:13.2","2","8.0","32.9","37.5","5-3","美浦加藤士","446(-12)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"28","4","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","4","5","9","フルグライト","牡3","牡","3","57.0","松岡","1:13.2","クビ","7.0","31.6","37.6","3-3","美浦堀内","466(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"29","5","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","5","8","16","ウインレアリゼ","牝3","牝","3","55.0","三浦","1:13.3","1/2","5.0","10.8","37.6","5-6","美浦小手川","462(-2)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"30","6","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","6","3","5","カフェブーケット","牡3","牡","3","57.0","横山和","1:13.5","1.1/4","10.0","48.8","36.6","12-10","美浦柄崎","480(0)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"31","7","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","7","6","11","ベルレオーネ","牡3","牡","3","57.0","石川","1:13.6","1/2","14.0","84.3","36.3","14-13","美浦天間","460(0)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"32","8","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","8","4","7","ビレッジルミエール","牝3","牝","3","52.0","▲佐藤","1:13.6","ハナ","9.0","37.5","37.6","7-7","美浦伊藤圭","444(+2)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"33","9","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","9","8","15","コウソクグルーヴ","牝3","牝","3","55.0","北村宏","1:13.6","アタマ","3.0","5.7","37.6","7-7","美浦中舘","434(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
"34","10","2025年4月19日","中山","3R","3歳未勝利","ダ1200m (右)","11:05","晴","良","10","5","10","アルパインハット","牝3","牝","3","55.0","大野","1:13.7","1/2","4.0","8.6","38.1","3-3","美浦上原博","432(-6)","https://race.netkeiba.com/race/result.html?race_id=202506030703&rf=race_list"
