"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","1","8","16","エベリンテソーロ","牝3","牝","3","55.0","横山武","1:12.5","","2.0","3.9","38.5","2-1","美浦加藤士","470(+2)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"2","2","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","2","5","9","シュレン","牝3","牝","3","55.0","菊沢","1:12.6","1","4.0","6.0","37.7","9-7","美浦千葉","372(-4)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"3","3","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","3","7","13","フラッシュタイム","牡3","牡","3","53.0","★小林美","1:12.8","3/4","12.0","113.0","38.5","4-2","美浦佐藤吉","524(+6)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"4","4","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","4","3","6","ナインオブレター","牡3","牡","3","57.0","吉田豊","1:13.0","1.1/2","1.0","3.5","38.5","7-5","美浦高橋文","448(+10)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"5","5","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","5","4","8","アラスカフレイバー","牡3","牡","3","57.0","戸崎圭","1:13.0","ハナ","6.0","9.1","37.8","11-11","美浦松永康","510(+8)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"6","6","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","6","2","4","モズアンドモズ","牝3","牝","3","55.0","大野","1:13.1","アタマ","5.0","8.7","38.9","3-2","美浦栗田","442(+8)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"7","7","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","7","6","11","フクノジョヴァンニ","牝3","牝","3","55.0","横山和","1:13.2","1/2","8.0","29.7","38.3","9-7","美浦伊藤圭","430(-6)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"8","8","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","8","4","7","ハクサンリンド","牡3","牡","3","55.0","△小林脩","1:13.8","4","7.0","29.5","38.5","13-11","美浦菊川","450(0)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"9","9","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","9","7","14","ジークマインド","牝3","牝","3","52.0","▲石神道","1:13.9","クビ","16.0","238.6","38.5","13-13","美浦和田雄","458(+2)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
"10","10","2025年1月11日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","稍","10","2","3","キーベスト","牡3","牡","3","56.0","☆原","1:13.9","ハナ","11.0","100.0","38.7","11-13","美浦黒岩","496(+6)","https://race.netkeiba.com/race/result.html?race_id=202506010301&rf=race_list"
