"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","1","3","6","パラサイコロジー","牝3","牝","3","55.0","大野","1:11.4","","2.0","2.0","36.1","1-1","美浦新開","466(0)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"2","2","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","2","7","13","アサクサグレース","牝3","牝","3","55.0","戸崎圭","1:12.4","6","1.0","1.9","36.7","4-4","美浦戸田","466(+4)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"3","3","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","3","6","12","タブロー","牝3","牝","3","55.0","内田博","1:13.4","6","6.0","51.8","38.0","2-2","美浦矢野","458(+2)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"4","4","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","4","6","11","サトミノマリア","牝3","牝","3","55.0","津村","1:13.5","3/4","3.0","12.0","37.4","8-6","美浦鈴木伸","492(+6)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"5","5","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","5","7","14","シスター","牝3","牝","3","55.0","北村宏","1:13.9","2","5.0","42.9","37.5","9-10","美浦勢司","484(0)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"6","6","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","6","5","9","コットンフラワー","牝3","牝","3","55.0","木幡巧","1:13.9","アタマ","11.0","179.3","37.5","9-7","美浦松永康","430(+4)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"7","7","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","7","8","15","レトロブーム","牝3","牝","3","52.0","▲上里","1:14.0","1","7.0","109.4","38.5","2-3","美浦西田","480(+8)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"8","8","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","8","4","7","ラヴィーズドリーム","牝3","牝","3","52.0","▲遠藤","1:14.5","3","8.0","136.9","38.0","9-10","美浦伊藤伸","450(+8)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"9","9","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","9","1","1","チッピンガム","牝3","牝","3","55.0","伊藤","1:14.8","2","10.0","166.1","36.5","16-16","美浦金成","486(-16)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"10","10","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","10","8","16","ミートザターゲット","牝3","牝","3","55.0","小林凌","1:14.9","クビ","4.0","12.6","38.9","7-7","美浦森一","428(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"11","11","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","11","3","5","アンスリウムリリー","牝3","牝","3","55.0","嶋田","1:15.0","1/2","16.0","327.5","38.1","12-12","美浦鈴木慎","472(+4)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"12","12","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","12","1","2","ルリモンハナバチ","牝3","牝","3","55.0","菅原隆","1:15.1","1/2","13.0","239.2","39.2","6-9","美浦小手川","450(-20)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"13","13","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","13","2","4","グレコ","牝3","牝","3","52.0","▲水沼","1:15.2","1/2","14.0","284.9","38.3","12-12","美浦加藤和","426(0)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"14","14","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","14","5","10","ハクシンマルペンサ","牝3","牝","3","51.0","★小林美","1:15.3","1","15.0","320.3","37.9","14-14","美浦蛯名利","452(-2)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"15","15","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","15","4","8","キタノロワーズ","牝3","牝","3","55.0","岩部","1:15.5","1.1/4","9.0","158.8","39.8","4-4","美浦萱野","414(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"16","16","2025年3月22日","中山","1R","3歳未勝利","ダ1200m (右)","10:05","晴","重","16","2","3","ペイシャヴァルスリ","牝3","牝","3","55.0","江田照","1:15.6","クビ","12.0","227.9","38.1","15-14","美浦菊川","398(0)","https://race.netkeiba.com/race/result.html?race_id=202506020701&rf=race_list"
"17","1","2025年3月22日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","重","1","1","1","ニシノブレイゼスト","牡3","牡","3","57.0","池添","1:54.4","","5.0","9.5","39.5","2-2-2-2","美浦高木","494(-2)","https://race.netkeiba.com/race/result.html?race_id=202506020702&rf=race_list"
"18","2","2025年3月22日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","重","2","4","4","メイショウコウベ","牡3","牡","3","57.0","大野","1:54.8","2.1/2","3.0","7.2","39.4","2-3-3-3","美浦和田勇","474(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020702&rf=race_list"
"19","3","2025年3月22日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","重","3","6","7","トレインザマインド","セ3","セ","3","57.0","内田博","1:55.1","1.1/2","4.0","7.7","39.0","11-11-5-4","美浦中舘","544(+2)","https://race.netkeiba.com/race/result.html?race_id=202506020702&rf=race_list"
"20","4","2025年3月22日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","重","4","8","12","ピコシー","牡3","牡","3","57.0","鮫島駿","1:55.1","ハナ","1.0","1.8","40.3","1-1-1-1","美浦奥村武","470(-4)","https://race.netkeiba.com/race/result.html?race_id=202506020702&rf=race_list"
"21","5","2025年3月22日","中山","2R","3歳未勝利","ダ1800m (右)","10:35","晴","重","5","5","5","タキノボリ","牡3","牡","3","57.0","北村宏","1:56.4","8","2.0","3.9","40.2","7-7-7-6","美浦勢司","454(+2)","https://race.netkeiba.com/race/result.html?race_id=202506020702&rf=race_list"
