"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","1","4","7","フィザルモニカ","牝3","牝","3","55.0","戸崎圭","1:26.9","","2.0","2.2","36.0","2-2","美浦大和田","454(0)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"2","2","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","2","7","13","アサクサグレース","牝3","牝","3","55.0","杉原","1:27.3","2.1/2","1.0","2.1","36.0","5-5","美浦戸田","462(-4)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"3","3","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","3","3","5","メリーサウンド","牝3","牝","3","55.0","横山武","1:27.9","3.1/2","3.0","12.0","37.1","1-1","美浦小笠","448(0)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"4","4","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","4","8","15","チハヤフル","牝3","牝","3","55.0","大野","1:28.3","2.1/2","5.0","16.1","36.3","12-13","美浦高柳瑞","470(+14)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"5","5","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","5","4","8","ラインアルテミス","牝3","牝","3","55.0","武藤","1:28.6","2","14.0","169.3","37.5","3-3","美浦武藤","532(-4)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"6","6","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","6","6","11","アオイハナミチ","牝3","牝","3","52.0","▲長浜","1:28.7","1/2","4.0","15.8","37.3","5-6","美浦高橋文","434(-4)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"7","7","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","7","2","4","アイアンオバーカム","牝3","牝","3","55.0","柴田大","1:29.0","2","7.0","46.3","37.8","3-3","美浦南田","452(-6)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"8","8","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","8","2","3","リケアキャンディ","牝3","牝","3","55.0","松岡","1:29.0","ハナ","12.0","150.2","37.0","12-13","美浦蛯名利","440(-8)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"9","9","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","9","3","6","タマモクロッシェ","牝3","牝","3","54.0","☆高杉","1:29.1","3/4","10.0","103.4","37.7","5-6","美浦水野","434(0)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"10","10","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","10","5","10","ヴェネチアンレース","牝3","牝","3","55.0","北村宏","1:29.2","クビ","8.0","54.9","37.6","9-8","美浦嘉藤","506(+10)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"11","11","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","11","6","12","ニューエラ","牝3","牝","3","55.0","鮫島駿","1:29.3","1","16.0","292.0","37.0","15-15","美浦池上","432(0)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"12","12","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","12","7","14","キャラメリー","牝3","牝","3","55.0","内田博","1:29.3","ハナ","13.0","163.0","37.8","8-8","美浦佐藤吉","488(-4)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"13","13","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","13","1","1","カーティブヨーク","牝3","牝","3","54.0","☆横山琉","1:29.4","3/4","6.0","42.2","37.6","12-12","美浦武市","442(+8)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"14","14","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","14","1","2","スプリット","牝3","牝","3","55.0","小林凌","1:29.6","3/4","15.0","279.3","38.0","9-8","美浦小西","436(0)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"15","15","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","15","8","16","チャーミングドール","牝3","牝","3","54.0","☆原","1:30.2","3.1/2","9.0","75.6","37.8","15-16","美浦上原博","430(-2)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"16","16","2025年2月22日","東京","1R","3歳未勝利","ダ1400m (左)","10:10","晴","良","16","5","9","アズーラ","牝3","牝","3","55.0","嶋田","1:31.1","5","11.0","141.3","39.4","9-11","美浦佐藤吉","414(-4)","https://race.netkeiba.com/race/result.html?race_id=202505010701&rf=race_list"
"17","1","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","1","5","10","ベルジュロネット","牡3","牡","3","57.0","鮫島駿","1:25.5","","1.0","1.4","36.7","4-4","栗東大久保","536(-2)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"18","2","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","2","6","11","トリリオンボーイ","牡3","牡","3","57.0","吉田豊","1:25.6","3/4","4.0","17.6","36.1","14-14","美浦武井","476(-2)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"19","3","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","3","1","1","トニケンサンバ","牡3","牡","3","57.0","横山和","1:25.6","クビ","7.0","31.3","36.1","14-14","美浦西田","512(+10)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"20","4","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","4","2","3","ストップヤーニング","牡3","牡","3","57.0","石川","1:25.8","1","8.0","33.6","37.0","4-4","栗東羽月","442(+16)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"21","5","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","5","7","14","ルークススペイ","牡3","牡","3","54.0","▲長浜","1:26.0","1.1/2","5.0","21.5","37.0","6-6","美浦伊藤圭","484(+4)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"22","6","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","6","3","5","ゲイルライダー","牡3","牡","3","56.0","☆高杉","1:26.2","1","2.0","4.8","37.7","1-1","栗東牧浦","494(+2)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"23","7","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","7","3","6","ヘルヴェティオス","牡3","牡","3","57.0","北村宏","1:26.2","クビ","9.0","40.8","36.9","13-10","美浦金成","444(0)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"24","8","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","8","1","2","ショウナンヤッホー","牡3","牡","3","57.0","大野","1:26.5","1.3/4","3.0","13.6","37.4","7-6","美浦栗田","482(0)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"25","9","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","9","8","15","ワンダラー","牡3","牡","3","57.0","内田博","1:26.7","1.1/4","10.0","44.3","37.7","7-6","美浦黒岩","520(0)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"26","10","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","10","5","9","アルマグラース","牝3","牝","3","55.0","武藤","1:27.5","5","16.0","676.3","37.8","16-16","美浦水野","452(+2)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"27","11","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","11","7","13","イズルード","牡3","牡","3","57.0","戸崎圭","1:27.5","クビ","6.0","23.3","38.5","7-6","美浦田島","472(0)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"28","12","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","12","4","8","リアルショット","牡3","牡","3","57.0","横山武","1:28.0","3","11.0","98.2","38.7","12-10","美浦加藤征","468(-2)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"29","13","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","13","6","12","エポカスピーガ","牝3","牝","3","54.0","☆横山琉","1:28.0","ハナ","12.0","135.7","39.3","2-3","美浦田中剛","484(-4)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"30","14","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","14","2","4","ミツカネリブラ","牡3","牡","3","57.0","柴田大","1:28.0","ハナ","14.0","243.7","38.7","11-10","美浦清水英","480(+6)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
"31","15","2025年2月22日","東京","2R","3歳1勝クラス","ダ1400m (左)","10:40","晴","良","15","8","16","イッシンフラン","牝3","牝","3","55.0","江田照","1:28.6","3.1/2","13.0","144.3","39.3","7-10","美浦竹内","442(-2)","https://race.netkeiba.com/race/result.html?race_id=202505010702&rf=race_list"
