"autoNo","No","開催日","開催地","レースNo","レース名","距離","発走時刻","天候","馬場","着順","枠","馬番","馬名","性齢","gender","age","斤量","騎手","タイム","着差","人気","単勝オッズ","後3F","コーナー通過順","厩舎","馬体重(増減)","url"
"1","1","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","1","8","9","フェーレンベルク","牡4","牡","4","60.0","上野","3:14.1","","4.0","7.2","13.5","4-3-2-2","美浦千葉","478(-4)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"2","2","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","2","6","6","イエローウィン","牝5","牝","5","58.0","石神深","3:14.3","1.1/4","2.0","3.5","13.5","2-2-1-1","美浦菊川","478(+2)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"3","3","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","3","7","8","サンマルグレイト","牡4","牡","4","60.0","大江圭","3:15.7","8","5.0","13.2","13.6","6-6-2-3","美浦佐藤吉","460(+12)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"4","4","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","4","2","2","テンメジャーガール","牝5","牝","5","58.0","中村","3:15.8","1/2","3.0","6.3","13.6","4-5-6-4","栗東高柳大","508(+10)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"5","5","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","5","1","1","ダノンジャッカル","牡5","牡","5","60.0","西谷誠","3:15.9","3/4","1.0","2.1","13.6","10-8-9-8","栗東中内田","464(0)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"6","6","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","6","3","3","ゴーツウキリシマ","牝4","牝","4","58.0","黒岩","3:16.5","3.1/2","9.0","139.2","13.6","8-8-8-9","栗東牧田","462(0)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"7","7","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","7","8","10","ネッスンドルマ","牡5","牡","5","60.0","伴","3:16.5","ハナ","6.0","13.8","13.6","6-7-7-7","美浦加藤士","462(-8)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"8","8","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","8","5","5","ヒダカエクスプレス","セ4","セ","4","60.0","井上","3:17.3","5","10.0","148.8","13.7","3-3-5-5","栗東高橋一","510(-10)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"9","9","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","9","7","7","タイセイモンストル","牡7","牡","7","60.0","五十嵐","3:17.3","クビ","7.0","31.1","13.7","8-8-10-10","美浦新開","488(+10)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"10","10","2024年9月28日","中山","1R","3歳以上障害未勝利","障2880m (芝 ダート)","10:05","曇","良","10","4","4","メイショウコホク","セ7","セ","7","60.0","難波","3:18.1","5","8.0","56.6","13.8","1-1-4-5","栗東藤沢","502(-4)","https://race.netkeiba.com/race/result.html?race_id=202406040801&rf=race_list"
"11","1","2024年9月28日","中山","2R","2歳未勝利","芝1200m (右 外C)","10:40","曇","良","1","6","8","ラトルシェ","牝2","牝","2","55.0","菅原明","1:09.4","","1.0","2.0","34.8","6-5","美浦菊川","460(0)","https://race.netkeiba.com/race/result.html?race_id=202406040802&rf=race_list"
"12","2","2024年9月28日","中山","2R","2歳未勝利","芝1200m (右 外C)","10:40","曇","良","2","3","3","メルシーボクアスク","牝2","牝","2","55.0","佐々木","1:09.5","1","3.0","5.5","35.2","2-2","美浦蛯名正","440(+4)","https://race.netkeiba.com/race/result.html?race_id=202406040802&rf=race_list"
"13","3","2024年9月28日","中山","2R","2歳未勝利","芝1200m (右 外C)","10:40","曇","良","3","1","1","バックアップアゲン","牝2","牝","2","55.0","永野","1:09.5","ハナ","4.0","5.8","35.3","1-1","美浦千葉","466(+18)","https://race.netkeiba.com/race/result.html?race_id=202406040802&rf=race_list"
"14","4","2024年9月28日","中山","2R","2歳未勝利","芝1200m (右 外C)","10:40","曇","良","4","4","5","プリンセスロロ","牝2","牝","2","55.0","吉田豊","1:09.6","クビ","6.0","17.5","35.1","4-5","美浦戸田","426(+14)","https://race.netkeiba.com/race/result.html?race_id=202406040802&rf=race_list"
